WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
num of nodes = 1000 and num of edges = 1817
num of nodes = 1000 and num of edges = 1817
num of nodes = 1000 and num of edges = 1817
num of nodes = 1000 and num of edges = 1817
train epoch=0, loader_type='Both', approx_losses.avg=0.0002391502963571203, constraint_losses.avg=0.000119060680860587
------------------------- test Main, avg_test_AL=0.00016912261774533865, avg_test_CL=0.00010502302539515674, max_test_CL=0.004821070469915867
------------------------- test un normalized Main, avg_test_AL_un_norm=12.324049214448696, avg_test_CL_un_norm=7.653080068552726, max_test_CL_un_norm=351.3137879449286
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.100632188502321e-06, max_test_CL=5.711327321478166e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5174265958408495, max_test_CL_un_norm=4.161872712013774
train epoch=1, loader_type='Both', approx_losses.avg=0.00021281759096041604, constraint_losses.avg=0.0001135389425898976
------------------------- test Main, avg_test_AL=0.00016905183569496573, avg_test_CL=0.00010507144900441912, max_test_CL=0.0048319692723453045
------------------------- test un normalized Main, avg_test_AL_un_norm=12.31889129123909, avg_test_CL_un_norm=7.656608686153796, max_test_CL_un_norm=352.1079967444586
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.202873528595166e-06, max_test_CL=5.759491978096776e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5248769724511684, max_test_CL_un_norm=4.196970320007283
train epoch=2, loader_type='Both', approx_losses.avg=0.0002070028253272915, constraint_losses.avg=0.00011391715111399424
------------------------- test Main, avg_test_AL=0.0001698291089911863, avg_test_CL=0.00010513675342485484, max_test_CL=0.004723443649709225
------------------------- test un normalized Main, avg_test_AL_un_norm=12.375531564876546, avg_test_CL_un_norm=7.661367492150615, max_test_CL_un_norm=344.1996935706778
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.1395543767174275e-06, max_test_CL=5.7298559113405645e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5202628757765374, max_test_CL_un_norm=4.1753745842180265
train epoch=3, loader_type='Both', approx_losses.avg=0.00021292920694788105, constraint_losses.avg=0.0001169589268476037
------------------------- test Main, avg_test_AL=0.00017093699976263689, avg_test_CL=0.00010627175015689572, max_test_CL=0.005016870331019163
------------------------- test un normalized Main, avg_test_AL_un_norm=12.456264128127643, avg_test_CL_un_norm=7.744075227192161, max_test_CL_un_norm=365.58182779358145
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.2445871776833926e-06, max_test_CL=5.777600017609075e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.52791666818937, max_test_CL_un_norm=4.210165790160035
train epoch=4, loader_type='Both', approx_losses.avg=0.00020322705353776526, constraint_losses.avg=0.00011169074276565677
------------------------- test Main, avg_test_AL=0.00017085148655669434, avg_test_CL=0.00010624569654492033, max_test_CL=0.00501486100256443
------------------------- test un normalized Main, avg_test_AL_un_norm=12.450032767599291, avg_test_CL_un_norm=7.742176682195934, max_test_CL_un_norm=365.4354039746938
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.249978264287193e-06, max_test_CL=5.780046558356844e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5283095174300565, max_test_CL_un_norm=4.211948765355242
train epoch=5, loader_type='Both', approx_losses.avg=0.0001978551850114609, constraint_losses.avg=0.00010876711016513466
------------------------- test Main, avg_test_AL=0.00017072267157813669, avg_test_CL=0.00010620657325742045, max_test_CL=0.0050118304789066315
------------------------- test un normalized Main, avg_test_AL_un_norm=12.4406459371274, avg_test_CL_un_norm=7.739325789499169, max_test_CL_un_norm=365.21459327975936
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.258156851392972e-06, max_test_CL=5.783763117506169e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5289054973813839, max_test_CL_un_norm=4.214656967987097
train epoch=6, loader_type='Both', approx_losses.avg=0.00019200794887498006, constraint_losses.avg=0.00010559855306905414
------------------------- test Main, avg_test_AL=0.00017052676195681337, avg_test_CL=0.00010614725974786987, max_test_CL=0.005007223691791296
------------------------- test un normalized Main, avg_test_AL_un_norm=12.426369895742518, avg_test_CL_un_norm=7.735003562010797, max_test_CL_un_norm=364.87889212488835
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.270657696381911e-06, max_test_CL=5.789430724689737e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5298164388895555, max_test_CL_un_norm=4.218787000339364
train epoch=7, loader_type='Both', approx_losses.avg=0.0001859576280652878, constraint_losses.avg=0.00010232654562042583
------------------------- test Main, avg_test_AL=0.00017023541375194284, avg_test_CL=0.00010605947268590699, max_test_CL=0.00500035984441638
------------------------- test un normalized Main, avg_test_AL_un_norm=12.40513920874413, avg_test_CL_un_norm=7.728606452597879, max_test_CL_un_norm=364.3787011783651
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.2892725146487254e-06, max_test_CL=5.797869380330667e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5311729097810184, max_test_CL_un_norm=4.224936232388495
train epoch=8, loader_type='Both', approx_losses.avg=0.00017931202903024055, constraint_losses.avg=9.889294665365938e-05
------------------------- test Main, avg_test_AL=0.0001694237355226309, avg_test_CL=0.00010568635280972716, max_test_CL=0.004954808857291937
------------------------- test un normalized Main, avg_test_AL_un_norm=12.34599178906229, avg_test_CL_un_norm=7.701417051080688, max_test_CL_un_norm=361.0593846933584
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.306519901764564e-06, max_test_CL=5.805678301840089e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.53242973682957, max_test_CL_un_norm=4.230626604336634
train epoch=9, loader_type='Both', approx_losses.avg=0.00017463207960272917, constraint_losses.avg=9.54505711209975e-05
------------------------- test Main, avg_test_AL=0.00016921549990916952, avg_test_CL=0.00010575661050362451, max_test_CL=0.004976204130798578
------------------------- test un normalized Main, avg_test_AL_un_norm=12.330817515103627, avg_test_CL_un_norm=7.706536756769677, max_test_CL_un_norm=362.6184787088484
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.355150983604286e-06, max_test_CL=5.8276349591324106e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5359735069351381, max_test_CL_un_norm=4.246626438548792
train epoch=10, loader_type='Both', approx_losses.avg=0.00016711969241187612, constraint_losses.avg=9.274441106725366e-05
------------------------- test Main, avg_test_AL=0.00016648374115721864, avg_test_CL=0.00010435971611873329, max_test_CL=0.004791450686752796
------------------------- test un normalized Main, avg_test_AL_un_norm=12.131752961574525, avg_test_CL_un_norm=7.604744380138027, max_test_CL_un_norm=349.15538280837586
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.365430225025005e-06, max_test_CL=5.8322770200902596e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5367225602177019, max_test_CL_un_norm=4.2500091474872175
train epoch=11, loader_type='Both', approx_losses.avg=0.00016472052801067808, constraint_losses.avg=9.079088611040442e-05
------------------------- test Main, avg_test_AL=0.00016628663566552727, avg_test_CL=0.00010451462069543238, max_test_CL=0.004812383092939854
------------------------- test un normalized Main, avg_test_AL_un_norm=12.117389787927644, avg_test_CL_un_norm=7.616032340473535, max_test_CL_un_norm=350.68075386674826
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.4441405066298924e-06, max_test_CL=5.86769929213915e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5424582173652489, max_test_CL_un_norm=4.275821634310253
train epoch=12, loader_type='Both', approx_losses.avg=0.00016059812270234234, constraint_losses.avg=8.79532232684719e-05
------------------------- test Main, avg_test_AL=0.000166476298234143, avg_test_CL=0.00010493568839540445, max_test_CL=0.004898680839687586
------------------------- test un normalized Main, avg_test_AL_un_norm=12.13121056631571, avg_test_CL_un_norm=7.646715721387014, max_test_CL_un_norm=356.96929196126325
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.527665355528512e-06, max_test_CL=5.9050609706901014e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5485447150829453, max_test_CL_un_norm=4.303047236618547
train epoch=13, loader_type='Both', approx_losses.avg=0.0001550421887026575, constraint_losses.avg=8.548877805301417e-05
------------------------- test Main, avg_test_AL=0.00016539753060192109, avg_test_CL=0.00010468691551563048, max_test_CL=0.004884182009845972
------------------------- test un normalized Main, avg_test_AL_un_norm=12.052600255986171, avg_test_CL_un_norm=7.628587551135355, max_test_CL_un_norm=355.9127681896189
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.61163224977679e-06, max_test_CL=5.942495045019314e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5546634236731111, max_test_CL_un_norm=4.330325758937199
train epoch=14, loader_type='Both', approx_losses.avg=0.0001509377951775345, constraint_losses.avg=8.371750907676798e-05
------------------------- test Main, avg_test_AL=0.00016289677425835515, avg_test_CL=0.00010355916843623935, max_test_CL=0.004710777662694454
------------------------- test un normalized Main, avg_test_AL_un_norm=11.870368872938068, avg_test_CL_un_norm=7.546408061836848, max_test_CL_un_norm=343.2767182596865
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.666531729809024e-06, max_test_CL=5.9668265748769045e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5586639761720108, max_test_CL_un_norm=4.34805604708654
train epoch=15, loader_type='Both', approx_losses.avg=0.0001501798879222146, constraint_losses.avg=8.231773502415134e-05
------------------------- test Main, avg_test_AL=0.00016275934802208126, avg_test_CL=0.00010396500049830326, max_test_CL=0.004807852674275637
------------------------- test un normalized Main, avg_test_AL_un_norm=11.860354536401909, avg_test_CL_un_norm=7.575981243614396, max_test_CL_un_norm=350.35059707616443
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.788495207935231e-06, max_test_CL=6.02067811996676e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5675515159934323, max_test_CL_un_norm=4.38729803403502
train epoch=16, loader_type='Both', approx_losses.avg=0.00014688394618560634, constraint_losses.avg=8.11732445329812e-05
------------------------- test Main, avg_test_AL=0.00016129453362022071, avg_test_CL=0.00010359526548430198, max_test_CL=0.004765731748193502
------------------------- test un normalized Main, avg_test_AL_un_norm=11.753612833681396, avg_test_CL_un_norm=7.549038453047195, max_test_CL_un_norm=347.2812293870147
------------------------- test Omega, avg_test_AL=0, avg_test_CL=7.892111264524715e-06, max_test_CL=6.06618013989646e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5751020686035302, max_test_CL_un_norm=4.420455724455066
train epoch=17, loader_type='Both', approx_losses.avg=0.00014482811366167244, constraint_losses.avg=7.992772544578959e-05
------------------------- test Main, avg_test_AL=0.00015946086683535875, avg_test_CL=0.00010311622148140743, max_test_CL=0.004738982301205397
------------------------- test un normalized Main, avg_test_AL_un_norm=11.619992601949514, avg_test_CL_un_norm=7.514130308324865, max_test_CL_un_norm=345.33198220029374
------------------------- test Omega, avg_test_AL=0, avg_test_CL=8.017430433823858e-06, max_test_CL=6.120804027887061e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5842341394358287, max_test_CL_un_norm=4.460260205605174
train epoch=18, loader_type='Both', approx_losses.avg=0.0001437792329206353, constraint_losses.avg=7.89767645469438e-05
------------------------- test Main, avg_test_AL=0.0001576744688704692, avg_test_CL=0.00010281908828139041, max_test_CL=0.004803852643817663
------------------------- test un normalized Main, avg_test_AL_un_norm=11.489816849623903, avg_test_CL_un_norm=7.4924780327675, max_test_CL_un_norm=350.0591280543303
------------------------- test Omega, avg_test_AL=0, avg_test_CL=8.172930356110442e-06, max_test_CL=6.188137922435999e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.5955654961331023, max_test_CL_un_norm=4.509327043255676
train epoch=19, loader_type='Both', approx_losses.avg=0.00014222040846537326, constraint_losses.avg=7.780014421413874e-05
------------------------- test Main, avg_test_AL=0.00015479689996083623, avg_test_CL=0.00010211785003794738, max_test_CL=0.004895293619483709
------------------------- test un normalized Main, avg_test_AL_un_norm=11.280127029366426, avg_test_CL_un_norm=7.441378490082349, max_test_CL_un_norm=356.72248787730206
------------------------- test Omega, avg_test_AL=0, avg_test_CL=8.372548277879144e-06, max_test_CL=6.273815233726054e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.6101117530508399, max_test_CL_un_norm=4.571760485807371
train epoch=20, loader_type='Both', approx_losses.avg=0.00014198911086367886, constraint_losses.avg=7.728243662258758e-05
------------------------- test Main, avg_test_AL=0.00015259908306142079, avg_test_CL=0.00010187930865644024, max_test_CL=0.004974051844328642
------------------------- test un normalized Main, avg_test_AL_un_norm=11.119970999715038, avg_test_CL_un_norm=7.423995821266401, max_test_CL_un_norm=362.46162170207594
------------------------- test Omega, avg_test_AL=0, avg_test_CL=8.585642954080708e-06, max_test_CL=6.36436088825576e-05
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.6256400684102263, max_test_CL_un_norm=4.6377411887178726
train epoch=21, loader_type='Both', approx_losses.avg=0.00014159761636706425, constraint_losses.avg=7.61108216238282e-05
